Title	URL	Priority	Start date	Target date	Quarter	Dev status	Linked pull requests	Sub-issues progress
📩 Mail as standard Object	https://github.com/twentyhq/core-team-issues/issues/217				Q1 26			
📎 Email Attachement	https://github.com/twentyhq/core-team-issues/issues/225				Q3 26			
🔍 Nested Filters	https://github.com/twentyhq/core-team-issues/issues/213				Q2 26			2 / 3 (66%)
👁️ Nested Fields	https://github.com/twentyhq/core-team-issues/issues/214				Q2 26			
🔍 Settings Search	https://github.com/twentyhq/core-team-issues/issues/226				Q4 26			
📮 Inbox V1	https://github.com/twentyhq/core-team-issues/issues/210				Q4 26			
🔄 Subflows (Workflows)	https://github.com/twentyhq/core-team-issues/issues/18							
[Extensibility] [twenty-sdk] [v2] Improve AppDevCommand so it uses manifest.json PATCH	https://github.com/twentyhq/core-team-issues/issues/1516							
✨ PG vector Field Type	https://github.com/twentyhq/core-team-issues/issues/47							
Ability to upload image and files through the REST API	https://github.com/twentyhq/core-team-issues/issues/187							
Adjust config for integration test	https://github.com/twentyhq/core-team-issues/issues/176							
Add the ability to drag and drop columns in table views.	https://github.com/twentyhq/core-team-issues/issues/151							
Improve record navigation	https://github.com/twentyhq/core-team-issues/issues/129							
Improve seeding perf	https://github.com/twentyhq/core-team-issues/issues/71							
Add the ability to enable email correspondence on custom objects	https://github.com/twentyhq/core-team-issues/issues/51							
@ Emails & Calendar	https://github.com/twentyhq/core-team-issues/issues/11							15 / 19 (78%)
🚪Onboarding flow	https://github.com/twentyhq/core-team-issues/issues/10							19 / 21 (90%)
👀 Views (Tables / Kanbans)	https://github.com/twentyhq/core-team-issues/issues/9							46 / 54 (85%)
🔧 Settings	https://github.com/twentyhq/core-team-issues/issues/8							23 / 24 (95%)
🔄 Workflows	https://github.com/twentyhq/core-team-issues/issues/7							69 / 86 (80%)
💽 Data Model	https://github.com/twentyhq/core-team-issues/issues/6							32 / 40 (80%)
↔️ Side Panel	https://github.com/twentyhq/core-team-issues/issues/1							18 / 18 (100%)
We should store the html content of emails in S3 instead of Postgres	https://github.com/twentyhq/core-team-issues/issues/32							0 / 0 (0%)
✨ User Experience	https://github.com/twentyhq/core-team-issues/issues/68							23 / 24 (95%)
