Title	URL	Assignees	Linked pull requests	Status	Sub-issues progress	Quarter
📩 Mail as standard Object	https://github.com/twentyhq/core-team-issues/issues/217					Q1 26
📎 Email Attachement	https://github.com/twentyhq/core-team-issues/issues/225					Q3 26
Revamp input system	https://github.com/twentyhq/core-team-issues/issues/736			In project	2 / 12 (16%)	Q4 26
🔍 Nested Filters	https://github.com/twentyhq/core-team-issues/issues/213	FelixMalfait			2 / 3 (66%)	Q2 26
👁️ Nested Fields	https://github.com/twentyhq/core-team-issues/issues/214					Q2 26
🔀 Sub-field sorting	https://github.com/twentyhq/core-team-issues/issues/550			In project	2 / 2 (100%)	Q3 26
📮 Inbox V1	https://github.com/twentyhq/core-team-issues/issues/210					Q4 26
🪟 Custom Layouts V1	https://github.com/twentyhq/core-team-issues/issues/1136	Weiko		In project	8 / 9 (88%)	Q1 26
📦 Apps v1	https://github.com/twentyhq/core-team-issues/issues/2003			In project	5 / 6 (83%)	Q1 26
🔧 Apps for the marketplace	https://github.com/twentyhq/core-team-issues/issues/2297			In project		Q3 26
🌎 Multi-region / per-pod isolation	https://github.com/twentyhq/core-team-issues/issues/2387			In project		Q3 26
🦠 Polymorphic relation type	https://github.com/twentyhq/core-team-issues/issues/186			In project	28 / 32 (87%)	Q1 26
📅 Last interaction standard field	https://github.com/twentyhq/core-team-issues/issues/1675			In project		Q2 26
💻 Formulas - Computed / Expressed fields	https://github.com/twentyhq/core-team-issues/issues/813			In project		Q3 26
💽 Event Data (Clickhouse) - Display external events in timeline	https://github.com/twentyhq/core-team-issues/issues/815			In project		Q4 26
📤 Delegation and Sharing	https://github.com/twentyhq/core-team-issues/issues/2520			In project		Q4 26
🔍 Settings Search	https://github.com/twentyhq/core-team-issues/issues/226					Q4 26
💻 Extensibility V1	https://github.com/twentyhq/core-team-issues/issues/1144			In project	3 / 8 (37%)	Q1 26
🤖 AI Agent	https://github.com/twentyhq/core-team-issues/issues/1204	FelixMalfait		In project	2 / 2 (100%)	Q1 26
🗜️ Group by any field type	https://github.com/twentyhq/core-team-issues/issues/1762			In project		Q2 26
🪶 Relation name edition	https://github.com/twentyhq/core-team-issues/issues/1928			In project		Q2 26
New onboarding design	https://github.com/twentyhq/core-team-issues/issues/2575	bosiraphael		In project	1 / 1 (100%)	Q3 26
